Country,Religions,Ethnic Groups
Afghanistan,"Islam, Other","Aimaq, Baloch, Hazara, Other, Pashtun, Tajik, Turkmen, Uzbek"
Albania,"Christianity, Islam, No religion","Albanians, Greeks, Other"
Algeria,"Islam, Other",No data
Andorra,"Christianity, No religion, Other","Andorrans, French, Other, Portuguese, Spaniards"
Angola,"Christianity, No religion, Other","Ambundu, Asian, Bakongo, European, Mestiço, Other African, Ovimbundu"
Antigua and Barbuda,"Christianity, Other","African, East Indian, European, Hispanic, Multiracial, Other, Syrian or Lebanese"
Argentina,"Christianity, No religion, Other",No data
Armenia,"Christianity, No religion, Other","Armenians, Other, Yazidis"
Australia,"Buddhism, Christianity, Hinduism, Islam, No religion, Other",No data
Austria,"Christianity, Islam, No religion, Other","Austrians, Other"
Azerbaijan,"Christianity, Islam, No religion, Other","Azerbaijani, Lezgin, Other, Russian, Talysh"
"Bahamas, The","Christianity, Folk/Traditional, No religion, Other","African, Mixed, Other, White"
Bahrain,"Christianity, Hinduism, Islam, Other","Africans, Arabs, North Americans, Other, South Asians"
Bangladesh,"Buddhism, Hinduism, Islam, Other","Bengali, Other"
Barbados,"Christianity, No religion, Other","African, Indian, Mixed, Other, White"
Belarus,"Christianity, No religion, Other","Belarusians, Other, Poles, Russians, Ukrainians"
Belgium,"Christianity, Islam, No religion, Other","Belgian, Foreign"
Belize,"Christianity, No religion, Other","Asian, Creole, East Indian, Garifuna, Mayan, Mennonite, Mestizo, Other, White"
Benin,"Christianity, Folk/Traditional, Islam, No religion, Other","Adja and Mina, Bariba, Dendi, Fon, Fula, Other, Ottamari, Yoa-Lokpa, Yoruba"
Bhutan,"Buddhism, Folk/Traditional, Hinduism, Other",No data
Bolivia,"Christianity, No religion, Other",No data
Bosnia and Herzegovina,"Christianity, Islam, Other","Bosniaks, Croats, Serbs"
Botswana,"Christianity, Folk/Traditional, No religion, Other","Kalanga, Other, San, Tswana"
Brazil,"Christianity, Folk/Traditional, No religion, Other","Black, East Asian, Indigenous, Pardo, White"
Brunei,"Buddhism, Christianity, Islam, Other","Chinese, Malay, Other"
Bulgaria,"Christianity, Islam, No religion","Bulgarians, Other, Roma, Turks"
Burkina Faso,"Christianity, Folk/Traditional, Islam, No religion","Bissa, Bobo, Fula, Gurma, Gurunsi, Lobi, Mossi, Other, Senufo"
Burundi,"Christianity, Folk/Traditional, Islam, No religion","Hutu, Tutsi, Twa"
Cambodia,"Buddhism, Christianity, Islam, Other","Cham, Chinese, Khmer, Other"
Cameroon,"Christianity, Folk/Traditional, Islam, Other","Adamawa-Ubangi, Bamileke-Bamun, Beti-Bassa, Biu-Mandara, Fulani, Other, Pygmy, Sawa, Shuwa Arab, Southwest Bantu, Tikar"
Canada,"Christianity, Hinduism, Islam, No religion, Other",No data
Cape Verde,"Christianity, Islam, No religion",No data
Central African Republic,"Christianity, Folk/Traditional, Islam, No religion","Banda, Baya, Fula, M'Baka, Mandjia, Mbum, Other, Sara, Yakoma"
Chad,"Christianity, Folk/Traditional, Islam, No religion, Other",No data
Chile,"Christianity, No religion, Other",No data
China,No data,"Han Chinese, Hui, Manchu, Miao, Other, Tibetan, Tujia, Uyghur, Yi, Zhuang"
Colombia,"Christianity, No religion, Other","Black, Indigenous, Mestizo - White, Romanis"
Comoros,No data,"Comorians, Makua, Other"
"Congo, Democratic Republic of the","Christianity, Folk/Traditional, Islam, No religion",No data
"Congo, Republic of the","Christianity, Folk/Traditional, Islam, No religion","Bakongo, Bateke, Mbochi, Other, Sangha"
Costa Rica,"Christianity, No religion, Other","Black, Indigenous, Mulatto, Other, White or Mestizo"
Croatia,"Christianity, Islam, No religion, Other","Croats, Other, Serbs"
Cuba,"Christianity, Folk/Traditional, No religion, Other",No data
Cyprus,"Christianity, Islam, No religion, Other","Armenian Cypriots, Foreigners, Greek Cypriots, Maronite Cypriots, Turkish Cypriots"
Czech Republic,"Christianity, No religion, Other","Czechs, Moravians, Other, Slovaks, Ukrainians"
Denmark,No data,No data
Djibouti,"Christianity, Islam","Afar, Arabs"
Dominica,"Christianity, Folk/Traditional, No religion, Other","African, European or other, Kalinago, Multiracial"
Dominican Republic,"Christianity, No religion, Other","Black, East Asian, Mixed, Other, White"
Ecuador,"Christianity, No religion, Other","Black, Indigenous, Mestizo, Montubio, Other, White"
Egypt,"Christianity, Folk/Traditional, Islam, Other",No data
El Salvador,"Christianity, No religion, Other","Black, Indigenous, Mestizo, Other, White"
Equatorial Guinea,"Christianity, Folk/Traditional, Islam, No religion, Other","Annobon, Bubi, Bujeba, Fang, Ndowe, Other"
Eritrea,"Christianity, Islam, Other","Afar, Beja, Bilen, Kunama, Nara, Rashaida, Saho, Tigre, Tigrinya"
Estonia,"Christianity, No religion, Other","Estonians, Other, Russians, Ukrainians"
Eswatini,"Christianity, Folk/Traditional, No religion, Other","Other, Swazi, Zulu"
Ethiopia,"Christianity, Folk/Traditional, Islam, No religion","Afar, Amhara, Gamo, Gurage, Hadiya, Oromo, Other, Sidama, Somali, Tigrayan, Welayta"
Fiji,"Christianity, Hinduism, Islam, No religion","Indigenous Fijians, Indo-Fijians, Other, Rotumans"
Finland,"Christianity, No religion, Other","Finns, Other"
France,"Christianity, Islam, No religion, Other",No data
Gabon,"Christianity, Folk/Traditional, Islam, No religion","Fang, Foreign, Indigenous Forest Peoples, Kota-Kele, Mbede-Teke, Myene, Nzebi-Duma, Shira-Punu"
"Gambia, The","Christianity, Islam, Other","Fula, Jola, Mandinka, Other, Serer, Soninke, Wolof"
Georgia,"Christianity, Islam, No religion","Armenians, Azerbaijanis, Georgians, Other, Russians"
Germany,"Christianity, Islam, No religion, Other",No data
Ghana,"Christianity, Folk/Traditional, Islam, No religion, Other","Akan, Ewe, Ga-Adangbe, Guan, Gurma, Gurunsi, Mande, Mole-Dagbon, Other"
Greece,"Christianity, Islam, No religion, Other",No data
Grenada,"Christianity, Hinduism, No religion","African, Indian, Mixed, Other"
Guatemala,"Christianity, No religion, Other","Black, Garifuna, Ladino, Maya, Other, Xinca"
Guinea,"Christianity, Folk/Traditional, Islam, No religion","Fula, Kissi, Kpelle, Loma, Mandinka, Other, Susu"
Guinea-Bissau,"Christianity, Folk/Traditional, Islam, No religion, Other","Balanta, Fula, Mandinka, Manjak, Papel"
Guyana,"Christianity, Hinduism, Islam, No religion, Other","African, Chinese, European, Indian, Indigenous, Mixed"
Haiti,"Christianity, Folk/Traditional, No religion, Other","African, Other"
Honduras,"Christianity, No religion, Other","Black, Indigenous, Mestizo, Other, White"
Hungary,"Christianity, No religion, Other","German, Hungarian, Other, Romani"
Iceland,"Christianity, No religion, Other","Filipino, Icelandic, Lithuanian, Other, Polish"
India,"Christianity, Hinduism, Islam, Other",No data
Indonesia,"Buddhism, Christianity, Hinduism, Islam","Batak, Javanese, Madurese, Malay, Others, Sundanese"
Iran,No data,"Arab, Azerbaijani, Baloch, Gilak and Mazanderani, Kurdish, Lur, Other, Persian, Turkmen"
Iraq,"Christianity, Islam, Other","Arab, Kurdish, Other"
Ireland,"Christianity, No religion, Other","Asian, Black, Other, White Irish"
Israel,"Christianity, Islam, Judaism, Other","Arabs, Jews, Other"
Italy,"Christianity, No religion, Other",No data
Ivory Coast,"Christianity, Folk/Traditional, Islam, No religion, Other","Akan, Kru, Northern Mande, Other, Southern Mande, Voltaiques/Gur"
Jamaica,"Christianity, No religion, Other","African, Chinese, Indian, Mixed, Other, White"
Japan,No data,No data
Jordan,"Christianity, Druze, Islam, Other","Arab, Armenian and others, Circassian , Chechen"
Kazakhstan,"Christianity, Islam, No religion, Other","German, Kazakh, Other, Russian, Tatar, Ukrainian, Uyghur, Uzbek"
Kenya,"Christianity, Folk/Traditional, Islam, No religion, Other","Kalenjin, Kamba, Kikuyu, Kisii, Luhya, Luo, Meru, Mijikenda, Other, Somali"
Kiribati,"Christianity, No religion, Other","Gilbertese, Other"
Kuwait,"Christianity, Islam, Other","African, Arab, Other, South Asian"
Kyrgyzstan,"Christianity, Islam, Other","Dungans, Kyrgyz, Other, Russians, Tajiks, Uzbeks"
Laos,"Buddhism, Christianity, Folk/Traditional, No religion","Akha, Hmong, Katang, Khmu, Lao, Lue, Makong, Other, Phu Thai, Tai"
Latvia,"Christianity, No religion, Other","Belarusians, Latvians, Lithuanians, Other, Poles, Russians, Ukrainians"
Lebanon,"Christianity, Druze, Islam, No religion","Arab, Armenian, Other"
Lesotho,"Christianity, Folk/Traditional, No religion, Other","Basotho, Other"
Liberia,"Christianity, Islam, No religion","Bassa, Gbandi, Gio, Gola, Grebo, Kissi, Kpelle, Kru, Lorma, Mandinka, Mano, Other, Vai"
Libya,"Christianity, Islam, Other","Arabs, Berbers, Other"
Liechtenstein,"Christianity, Islam, No religion, Other",No data
Lithuania,"Christianity, No religion, Other","Belarusians, Lithuanians, Other, Poles, Russians, Ukrainians"
Luxembourg,"Christianity, No religion, Other",No data
Madagascar,"Christianity, Folk/Traditional, Islam, No religion, Other","Antaisaka, Antandroy, Betsileo, Betsimisaraka, Merina, Other, Sakalava, Tsimihety"
Malawi,"Christianity, Folk/Traditional, Islam, No religion, Other","Chewa, Lambya, Lomwe, Mang'anja, Ngonde, Ngoni, Other, Sena, Sukwa, Tonga, Tumbuka, Yao"
Malaysia,"Buddhism, Christianity, Islam","Bumiputera, Chinese, Indian"
Maldives,Islam,No data
Mali,"Islam, Other","Bambara, Bobo, Dogon, Fula, Malinke, Other, Senufo / Bwa, Songhai, Soninke, Tuareg"
Malta,"Christianity, No religion, Other","Maltese, Other"
Marshall Islands,"Christianity, No religion, Other","Marshallese, Other"
Mauritania,Islam,"Beidane, Haratin, Sub-Saharan African"
Mauritius,"Christianity, Hinduism, Islam, No religion","Chinese, Creole, French, Indian"
Mexico,"Christianity, No religion, Other",No data
Micronesia,"Christianity, Folk/Traditional, No religion","Asian, Chuukese, Kosraean, Other, Outer Yapese, Pohnpeian, Polynesian, Yapese"
Moldova,"Christianity, No religion, Other","Bulgarians, Gagauz, Moldovans, Other, Romanians, Russians, Ukrainians"
Monaco,"Christianity, Islam, Judaism, No religion","Belgian, British, French, German, Italian, Monégasque, Other, Swiss"
Mongolia,"Buddhism, Christianity, Folk/Traditional, Islam, No religion, Other","Kazakhs, Mongols, Other"
Montenegro,"Christianity, Islam, No religion","Albanians, Bosniaks or Muslims, Montenegrins, Russians, Serbs"
